;floor;price;operation;size;exterior;rooms;bathrooms;latitude;longitude;newDevelopment;hasLift;topNewDevelopment;isParkingSpaceIncludedInPrice;numero_bancos_cercanos;numero_starbucks_cercanos;numero_atractivos_cercanos;numero_buenasmigas_cercanos;numero_clubesnocturnos_cercanos;numero_mcdonalds_cercanos;numero_metro_cercanos;numero_parking_cercanos;numero_parkingbici_cercanos;numero_parques_cercanos;numero_playas_cercanos;numero_santagloria_cercanos;numero_vivari_cercanos;num_airbnbs_500;media_precios_airbnbs_500;log_price;price_m2;log_price_m2;propertyType_chalet;propertyType_duplex;propertyType_flat;propertyType_penthouse;status_good;status_newdevelopment;num_airbnbs_500_mas_de_cero;media_precios_airbnbs_500_mas_de_cero;numero_bancos_cercanos_mas_de_cero;numero_starbucks_cercanos_mas_de_cero;numero_atractivos_cercanos_mas_de_cero;numero_buenasmigas_cercanos_mas_de_cero;numero_clubesnocturnos_cercanos_mas_de_cero;numero_mcdonalds_cercanos_mas_de_cero;numero_metro_cercanos_mas_de_cero;numero_parking_cercanos_mas_de_cero;numero_parkingbici_cercanos_mas_de_cero;numero_parques_cercanos_mas_de_cero;numero_playas_cercanos_mas_de_cero;numero_santagloria_cercanos_mas_de_cero;numero_vivari_cercanos_mas_de_cero;district;neighborhood
26;0;4900;rent;188;1;4;3;413.899.698;21.310.282;0;1;0;0;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;849.699.048.409.872;26.063.829.787.234;326.054.852.126.877;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;Les Corts;Les Corts
27;9;4900;rent;179;1;4;3;413.918.784;21.315.078;0;1;0;0;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;849.699.048.409.872;273.743.016.759.777;330.960.467.825.796;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;Les Corts;Les Corts
28;2;2275;rent;50;1;1;1;413.954.189;21.691.955;0;1;0;1;23;0;0;0;0;0;0;0;0;0;0;1;0;2;1.271.572;772.973.533.138.505;45.5;38.177.123.259.569;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;Eixample;La Dreta de l'Eixample
29;0;1500;rent;136;0;1;1;413.810.866;21.679.114;0;1;0;0;10;0;1;0;0;0;0;0;1;0;0;0;0;0;0;73.132.203.870.903;110.294.117.647.059;240.056.550.135.425;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;Ciutat Vella;El Raval
30;9;4900;rent;350;1;4;3;413.894.264;21.303.834;0;1;0;0;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;849.699.048.409.872;14;263.905.732.961.526;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Les Corts;Les Corts
31;9;4900;rent;188;1;4;3;413.913.941;21.305.489;0;0;0;0;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;849.699.048.409.872;26.063.829.787.234;326.054.852.126.877;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;Les Corts;Les Corts
32;0;7990;rent;520;1;7;7;414.098.846;21.163.462;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;898.594.603.876.032;153.653.846.153.846;273.211.722.718.485;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sarri������-Sant Ge;Sarri�
33;1;3045;rent;77;1;2;2;414.026.737;21.222.373;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8.021.256.180.144;395.454.545.454.545;367.745.075.829.031;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Sarri������-Sant Ge;Sarri�
34;1;2100;rent;92;0;3;2;413.907.979;2.174.509;0;1;0;0;15;0;0;1;1;0;0;0;0;0;0;0;1;1;50.314;764.969.262.371.151;228.260.869.565.217;312.790.404.666.247;0;0;1;0;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;1;Eixample;La Dreta de l'Eixample
35;4;3800;rent;121;1;3;2;413.929.281;21.459.461;0;0;0;0;29;0;0;0;1;0;0;2;1;0;0;0;0;0;0;824.275.634.571.448;31.404.958.677.686;344.696.580.011.774;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;Sarri������-Sant Ge;Sant Gervasi - Galvany
36;12;3390;rent;120;1;3;2;413.861.658;21.345.338;0;1;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;81.285.852.003.745;28.25;334.109.345.759.245;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;Les Corts;Les Corts
37;6;6900;rent;135;1;2;2;414.006.701;21.725.896;0;1;0;0;12;0;0;0;0;1;0;0;0;0;0;0;0;1;150.942;883.927.669.058.535;511.111.111.111.111;393.400.191.214.692;0;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;Eixample;La Dreta de l'Eixample
38;2;3000;rent;150;1;3;2;413.854.006;21.835.471;0;1;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;800.636.756.765.025;20;299.573.227.355.399;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
39;3;1035;rent;45;1;2;1;413.968.365;21.454.188;0;1;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694.215.670.569.947;23;313.549.421.592.915;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Sarri������-Sant Ge;Sant Gervasi - Galvany
40;3;4950;rent;123;1;3;2;414.025.112;21.160.332;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;850.714.285.556.274;402.439.024.390.244;369.495.850.019.032;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Sarri������-Sant Ge;Sarri�
41;1;2500;rent;112;1;3;2;41.382.181;21.584.714;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;782.404.601.085.629;223.214.285.714.286;31.055.471.395.612;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Eixample;La Nova Esquerra de l'Eixample
42;3;3500;rent;125;1;3;2;413.933.148;2.163.152;0;1;0;1;21;1;0;0;0;0;0;0;0;0;0;1;0;0;0;81.605.182.474.775;28;33.322.045.101.752;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;Eixample;La Dreta de l'Eixample
43;1;4600;rent;164;1;4;4;41.400.537;21.379.804;0;1;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;843.381.158.247.719;280.487.804.878.049;333.394.515.465.299;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Sarri������-Sant Ge;Sant Gervasi - Galvany
44;1;2600;rent;87;1;2;2;414.032.237;21.233.344;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;786.326.672.400.957;298.850.574.712.644;339.735.860.535.499;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Sarri������-Sant Ge;Sant Gervasi - La Bonanova
45;0.5;3120;rent;87;1;3;2;414.030.926;21.690.485;0;1;0;1;18;0;0;0;0;1;0;0;0;0;0;0;0;4;1.465.967;804.558.828.080.353;358.620.689.655.172;357.968.016.214.894;0;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;Gr����;El Camp d'En Grassot i Gr������cia
46;0;2950;rent;115;1;2;2;414.016.242;21.610.693;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;798.956.044.933.387;256.521.739.130.435;324.462.832.097.062;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Gr����;Vila de Gr����
47;1;2025;rent;65;1;1;1;413.853.632;21.846.702;0;1;0;0;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;761.332.497.954.064;311.538.461.538.462;3.438.937.709.645;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
48;3;1850;rent;107;1;4;1;41.384.678;21.280.694;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;1;0;0;0;752.294.091.807.237;172.897.196.261.682;285.011.208.361.046;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;Les Corts;La Maternitat i Sant Ramon
49;1;1850;rent;72;1;3;1;413.851.941;2.178.106;0;1;0;0;15;1;0;1;0;0;0;0;0;0;0;0;0;1;50.314;752.294.091.807.237;256.944.444.444.444;324.627.479.905.631;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;Ciutat Vella;Sant Pere - Santa Caterina i la Ribera
50;1;6900;rent;195;1;4;3;413.949.623;21.596.777;0;1;0;1;17;1;0;0;0;0;0;0;1;0;0;0;0;0;0;883.927.669.058.535;353.846.153.846.154;35.662.771.320.216;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;Eixample;La Dreta de l'Eixample
51;3;3470;rent;70;1;2;1;413.861.272;21.540.824;0;1;0;1;6;0;0;1;0;1;0;1;2;0;0;0;0;0;0;815.190.987.294.091;495.714.285.714.286;390.341.463.089.155;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;0;Eixample;L'Antiga Esquerra de l'Eixample
52;7;7900;rent;266;1;5;4;413.848.057;21.090.424;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;897.461.803.845.511;296.992.481.203.008;339.112.172.967.341;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Les Corts;Pedralbes
53;1;6900;rent;204;1;4;3;413.941.733;21.575.765;0;1;0;1;15;1;0;0;1;0;0;0;1;0;0;0;0;0;0;883.927.669.058.535;338.235.294.117.647;352.115.669.674.113;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;Eixample;La Dreta de l'Eixample
