index,Fecha extraccion,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,status,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,ParkingSpacePrice,distancia_minima_banco,banco_mas_cercano,numero_bancos_cercanos,distancia_minima_starbucks,starbucks_mas_cercano,numero_starbucks_cercanos,distancia_minima_atractivos,atractivos_mas_cercano,numero_atractivos_cercanos,distancia_minima_buenasmigas,buenasmigas_mas_cercano,numero_buenasmigas_cercanos,distancia_minima_clubesnocturnos,clubesnocturnos_mas_cercano,numero_clubesnocturnos_cercanos,distancia_minima_mcdonalds,mcdonalds_mas_cercano,numero_mcdonalds_cercanos,distancia_minima_metro,metro_mas_cercano,numero_metro_cercanos,distancia_minima_parking,parking_mas_cercano,numero_parking_cercanos,distancia_minima_parkingbici,parkingbici_mas_cercano,numero_parkingbici_cercanos,distancia_minima_parques,parques_mas_cercano,numero_parques_cercanos,distancia_minima_playas,playas_mas_cercano,numero_playas_cercanos,distancia_minima_santagloria,santagloria_mas_cercano,numero_santagloria_cercanos,distancia_minima_vivari,vivari_mas_cercano,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
1,1052024,4,749,penthouse,rent,45.0,1.0,1.0,1.0,calle dels Capellans,Barcelona,Barcelona,Ciutat Vella,es,El Gòtic,41.3837185,2.1759977,good,0.0,False,False,,,126.8623545044576,bank,20,201.2456484030793,Starbucks,1,451.5448947441661,amenity,1,110.4491139196209,Buenas Migas,1,672.0716581933918,nightclub,0,791.2502457325592,McDonald's,0,3519.066252708643,metro_station,0,2029.807640192677,parking,0,824.573210570352,bicycle_parking,0,3221.893013514142,park,0,1696.229634927062,beach,0,1399.761099634531,Santagloria,0,796.5525191832627,Vivari,0,2,204.9152,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1052024,2,4400,flat,rent,170.0,1.0,3.0,4.0,calle de Ferran Agulló,Barcelona,Barcelona,Sarrià-Sant Gervasi,es,Sant Gervasi - Galvany,41.3971816,2.1428853,good,0.0,True,False,,,175.2095450201829,bank,14,859.5237800688328,Starbucks,0,1920.576120438741,tourism,0,1087.372229661628,Buenas Migas,0,800.7042277928304,nightclub,0,1126.408981077392,McDonald's,0,2356.73124817854,metro_station,0,762.7334515563987,parking,0,795.001489413615,bicycle_parking,0,2776.133774341931,park,0,4708.931973545229,beach,0,1068.355099368459,Santagloria,0,2567.465847354559,Vivari,0,0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1052024,5,1700,flat,rent,74.0,1.0,2.0,1.0,paseo del Taulat,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4050399,2.211389,good,0.0,,False,1.0,,151.4391225613863,bank,5,617.2504942588996,Starbucks,0,2567.707517121721,tourism,0,3484.71438434721,Buenas Migas,0,3571.986965944701,nightclub,0,3182.489745665679,McDonald's,0,6831.412914890574,metro_station,0,5186.356846859633,parking,0,4600.439130346751,bicycle_parking,0,821.6162762208195,park,0,552.9153767313085,beach,0,3791.848517670704,Santagloria,0,2762.910851095902,Vivari,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1052024,3,4500,flat,rent,59.0,1.0,1.0,1.0,calle de Premià,Barcelona,Gavà,Gavà Mar,es,,41.2673892,2.0327119,good,0.0,True,False,1.0,,7202.433445465617,bank,0,16259.27759673123,Starbucks,0,11718.33140848397,tourism,0,15438.04057654786,Buenas Migas,0,11074.14571275315,nightclub,0,14100.22510778189,McDonald's,0,14422.5909184263,metro_station,0,16382.58726371931,parking,0,16622.87740723016,bicycle_parking,0,14651.44839499584,park,0,18826.77288738522,beach,0,15282.06998270638,Santagloria,0,14452.79520295032,Vivari,0,0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1052024,1,2369,flat,rent,127.0,1.0,2.0,2.0,paseo del Taulat,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4087459,2.215716,good,0.0,True,False,,,43.13156268796366,bank,4,88.14009165926805,Starbucks,1,2171.881602386611,tourism,0,4004.332442352761,Buenas Migas,0,4091.401696061592,nightclub,0,3583.372688317714,McDonald's,0,7125.919154164215,metro_station,0,5644.889861900323,parking,0,5077.457420304889,bicycle_parking,0,349.7787818252501,park,1,491.2596402148,beach,1,4269.549156302023,Santagloria,0,2977.522426482367,Vivari,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1052024,,4000,penthouse,rent,55.0,1.0,1.0,1.0,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3922971,2.1694399,good,0.0,True,False,,,38.3547763850849,bank,16,910.3232559397925,Starbucks,0,483.8666319691093,tourism,1,524.9317188211024,Buenas Migas,0,483.3766325951108,nightclub,1,1320.794739842135,McDonald's,0,3401.501757944257,metro_station,0,1536.677512747174,parking,0,1066.157714076083,bicycle_parking,0,3323.118832132456,park,0,2438.17455261444,beach,0,303.0310962565028,Santagloria,1,320.1031291719933,Vivari,1,1,103.3724,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,1052024,,4000,flat,rent,81.0,1.0,2.0,2.0,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3924005,2.1720221,good,0.0,True,False,,,180.5317352214495,bank,16,900.2284294243005,Starbucks,0,629.6784969892382,tourism,0,363.5538573861941,Buenas Migas,1,353.1601841802176,nightclub,1,1272.848401169942,McDonald's,0,3590.576407382765,metro_station,0,1750.368801605797,parking,0,1267.012580700541,bicycle_parking,0,3487.501805211907,park,0,2245.834574292084,beach,0,424.1412655588294,Santagloria,1,234.5484399236116,Vivari,1,0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8,1052024,6,4000,flat,rent,85.0,1.0,2.0,2.0,calle del Consell de Cent,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3923514,2.1687852,good,0.0,True,False,,,93.09405887509823,bank,19,858.798923058846,Starbucks,0,464.0161170167653,tourism,1,575.7652630278649,Buenas Migas,0,530.645533430682,nightclub,0,1329.675722883508,McDonald's,0,3359.020013398524,metro_station,0,1481.591145292613,parking,0,1012.917818778414,bicycle_parking,0,3288.771335295328,park,0,2490.990587093321,beach,0,281.683470292338,Santagloria,1,365.2022579223576,Vivari,1,1,103.3724,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1052024,7,4000,penthouse,rent,60.0,1.0,1.0,1.0,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3922715,2.1686713,good,0.0,True,False,,,101.4003569876173,bank,19,854.5656735903159,Starbucks,0,452.0394996971291,tourism,1,580.1692575896332,Buenas Migas,0,533.3737560931177,nightclub,0,1340.932836944846,McDonald's,0,3346.177370065604,metro_station,0,1473.148327040608,parking,0,1007.387215231171,bicycle_parking,0,3275.765465458458,park,0,2496.400721323659,beach,0,288.7050815190861,Santagloria,1,367.299426255655,Vivari,1,1,103.3724,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1052024,,4200,flat,rent,88.0,1.0,2.0,2.0,barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3956328,2.1714917,good,0.0,True,False,,,219.2245831258722,bank,16,987.7014696960651,Starbucks,0,891.0768318601612,tourism,0,693.7508600268716,Buenas Migas,0,704.0033723537442,nightclub,0,922.2961829300428,McDonald's,0,3753.332012289861,metro_station,0,1710.302667468533,parking,0,1168.437194716555,bicycle_parking,0,3708.570409354191,park,0,2458.89836546206,beach,0,295.7176391424517,Santagloria,1,595.9795807993331,Vivari,0,2,127.1572,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
