Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
11,2.0,1735.0,rent,44.0,0,1,1,41.3859764,2.1723487,0,1,0,0,19,1,0,2,1,0,0,0,0,0,0,0,1,0,0.0,7.45876269238096,39.4318181818182,3.6745730584627,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,1250.0,rent,95.0,1,3,2,41.3817911,2.1556358,0,1,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,7.13089883029635,13.1578947368421,2.57702193869581,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4.0,2000.0,rent,70.0,1,2,1,41.3900208,2.1609292,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,7.60090245954208,28.5714285714286,3.35240721749272,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,2000.0,rent,80.0,0,1,1,41.3779651,2.1645229,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,7.60090245954208,25.0,3.2188758248682,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,2695.0,rent,60.0,1,2,2,41.4019269,2.1625075,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.8991534833431,44.9166666666667,3.804808921121,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,7.0,1740.0,rent,106.0,1,3,1,41.4018007,2.1425676,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.46164039220858,16.4150943396226,2.79820129809651,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,6.0,1526.0,rent,92.0,0,4,2,41.4024636,2.1423744,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.3304052118444,16.5869565217391,2.80861663479536,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2.0,2670.0,rent,60.0,1,1,1,41.402655,2.1629314,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.8898337513943,44.5,3.79548918917219,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,5085.0,rent,212.0,1,3,3,41.4044164,2.1451037,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.53405030848266,23.9858490566038,3.17746403381065,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3.0,1940.0,rent,85.0,1,2,1,41.3796029,2.152498,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.57044325205737,22.8235294117647,3.12779199556706,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
