"type","longitude","latitude"
"park",2.21516948002211,41.4118683144462
"park",2.20899784298687,41.4261224607742
"park",2.13865243848972,41.3723893198796
"park",2.14123977735542,41.3712214896508
"park",2.19526643680375,41.4490762587038
"park",2.16014895551876,41.4147836803646
"park",2.08435968993108,41.3573294749478
"park",2.08704528194285,41.3579421067316
"park",2.08361356273307,41.3573630381053
"park",2.08346814889475,41.3569043524708
"park",2.08486868332883,41.3565417485769
"park",2.08478566092158,41.3576913118807
"park",2.085140310483,41.3578108200123
"park",2.08459660756126,41.3578846743473
"park",2.08408223881835,41.3570489070036
"park",2.08761846602266,41.3574991063976
"park",2.08622610678616,41.3566317919985
"park",2.22190194138562,41.4283066398695
"park",2.21737561359698,41.4152084943703
"park",2.21145737746875,41.4194753439718
"park",2.21367993488087,41.4177998074755
"park",2.2147370958671,41.4185908169064
"park",2.21490439901383,41.4168250505421
"park",2.21674843063557,41.41649887531
"park",2.21857149737564,41.41478760072
"park",2.21191453946163,41.4107732894052
"park",2.1938032056197,41.4254511884172
"park",2.11288102191911,41.3749379344065
"park",2.11262244641324,41.3753022650059
"park",2.14442328449154,41.360620873802
"park",2.09102961430893,41.3723560918421
"park",2.08801162251449,41.369653562968
"park",2.0872376670819,41.3696499491559
"park",2.08195976121812,41.3699668177545
"park",2.13821387434172,41.3796101776808
"park",2.15838882749669,41.405693185639
"park",2.13070378191511,41.4146641049978
"park",2.14415837731438,41.4110559690037
"park",2.13566761916798,41.4056168909154
"park",2.12185298055241,41.3936510269013
"park",2.12283381991336,41.392447368087
"park",2.10091362750504,41.3564618065829
"park",2.11172499527487,41.3550867171662
"park",2.11155986332684,41.3555036333641
"park",2.11197349282702,41.3555074512496
"park",2.19775039841162,41.4215065109264
"park",2.14032720163687,41.3512582029034
"park",2.11020745761312,41.405926600514
"park",2.15002291280086,41.4253482373851
"park",2.16544622027744,41.3766987548105
"park",2.14206821277256,41.3610673078602
"park",2.20720525834345,41.4379917570153
"park",2.07992500994582,41.3474366997999
"park",2.08061894147021,41.3558405230811
"park",2.1495256757388,41.4347726682029
"park",2.13965100058662,41.374429131358
"park",2.08788258682722,41.375872037016
"park",2.19410178507758,41.4478408610282
"park",2.22460768181586,41.4161788780081
"park",2.08400530490189,41.3191565909916
"park",2.1732919640859,41.4108609902524
"park",2.1260709658805,41.4093429367235
"park",2.16591361141993,41.4043605172059
"park",2.14974405835439,41.3878701212854
"park",2.17495961903773,41.4442770144479
"park",2.07930715725181,41.3639812629556
"park",2.21262230111947,41.4066558681255
"park",2.15984759901102,41.3803306154351
"park",2.14062291291488,41.4171630294962
"park",2.13775798498718,41.4147064247755
"park",2.13660388396645,41.4156801388397
"park",2.10671123140181,41.3781286584554
"park",2.12389979236013,41.3958226812738
"park",2.14907054316686,41.3540859259629
"park",2.17201607539896,41.3703909664403
"park",2.19027709207855,41.4393139582629
"park",2.16435677599886,41.4272616790781
"park",2.13993923014282,41.4209917895722
"park",2.15272601158515,41.371688013533
"park",2.16003915865277,41.4250346440652
"park",2.16316742470466,41.3777320229286
"park",2.18695528491522,41.4513561349783
"park",2.21463431649385,41.4467419866132
"park",2.11678199260719,41.3709952855765
"park",2.11615362415539,41.3728864239529
"park",2.11797716157784,41.3753384517526
"park",2.11717896562077,41.3750732269283
"park",2.11775982655689,41.3749707268974
"park",2.13895317102631,41.4056018223389
"park",2.13611899573325,41.4131367495716
