"amenity","longitude","latitude"
"bicycle_parking",2.15153221333653,41.3942076309831
"bicycle_parking",2.1540544,41.385862
"bicycle_parking",2.1548528,41.3865241
"bicycle_parking",2.1671948,41.380377
"bicycle_parking",2.1575205,41.3957019
"bicycle_parking",2.1066825,41.3305519
"bicycle_parking",2.1542003,41.3974635
"bicycle_parking",2.0992835,41.3285303
"bicycle_parking",2.1892975,41.3983385
"bicycle_parking",2.1883641,41.3990407
"bicycle_parking",2.1891205,41.3981433
"bicycle_parking",2.1913829,41.399828
"bicycle_parking",2.1916417,41.4000242
"bicycle_parking",2.1924879,41.400654
"bicycle_parking",2.1430232,41.3729265
"bicycle_parking",2.1910798,41.3949625
"bicycle_parking",2.1917262,41.3947703
"bicycle_parking",2.1898735,41.3976793
"bicycle_parking",2.1902262,41.3975822
"bicycle_parking",2.1890628,41.3966461
"bicycle_parking",2.1889515,41.3965591
"bicycle_parking",2.1900867,41.3958136
"bicycle_parking",2.1904877,41.3956033
"bicycle_parking",2.1881044,41.3958098
"bicycle_parking",2.1929001,41.40092
"bicycle_parking",2.1928624,41.4022967
"bicycle_parking",2.1895381,41.3998114
"bicycle_parking",2.1897449,41.399076
"bicycle_parking",2.1490297,41.4080722
"bicycle_parking",2.1865695,41.4054621
"bicycle_parking",2.1872523,41.4051533
"bicycle_parking",2.17243085314906,41.384468853693
"bicycle_parking",2.17233873953887,41.3846479502689
"bicycle_parking",2.219532,41.4056919
"bicycle_parking",2.2192731,41.4054986
"bicycle_parking",2.2184819,41.4049157
"bicycle_parking",2.2168708,41.4037646
"bicycle_parking",2.2155022,41.4026876
"bicycle_parking",2.2125713,41.3991695
"bicycle_parking",2.2138285,41.4002971
"bicycle_parking",2.2149298,41.4018795
"bicycle_parking",2.2133078,41.3997895
"bicycle_parking",2.2119638,41.3986775
"bicycle_parking",2.2115709,41.3981567
"bicycle_parking",2.0634596,41.354788
"bicycle_parking",2.1494216,41.3888747
"bicycle_parking",2.1846334,41.4172105
"bicycle_parking",2.1951656,41.3832355
"bicycle_parking",2.201493,41.4079196
"bicycle_parking",2.1661537,41.3640794
"bicycle_parking",2.1938254,41.436414
"bicycle_parking",2.1109131,41.3744924
"bicycle_parking",2.1690974,41.3866196
"bicycle_parking",2.169029,41.3867073
"bicycle_parking",2.1690614,41.3866648
"bicycle_parking",2.1738069,41.3851961
"bicycle_parking",2.0963484,41.3610666
"bicycle_parking",2.0951777,41.362238
"bicycle_parking",2.1301255,41.3678242
"bicycle_parking",2.1701186,41.3807004
"bicycle_parking",2.1867644,41.4131334
"bicycle_parking",2.1867552,41.4134167
"bicycle_parking",2.1871978,41.4132537
"bicycle_parking",2.1437156,41.3905782
"bicycle_parking",2.1435831,41.390598
"bicycle_parking",2.1480994,41.3664038
"bicycle_parking",2.2046986,41.3916439
"bicycle_parking",2.1524872,41.4064504
"bicycle_parking",2.1901307,41.4022999
"bicycle_parking",2.201731,41.3870177
"bicycle_parking",2.2014333,41.3867859
"bicycle_parking",2.2010779,41.3865163
"bicycle_parking",2.2007129,41.3862497
"bicycle_parking",2.2006593,41.386204
"bicycle_parking",2.2010195,41.3864749
"bicycle_parking",2.2013877,41.3867559
"bicycle_parking",2.201675,41.3869745
"bicycle_parking",2.2003039,41.3859356
"bicycle_parking",2.2003447,41.385968
"bicycle_parking",2.2017741,41.3874325
"bicycle_parking",2.2012467,41.3878318
"bicycle_parking",2.2007221,41.3882293
"bicycle_parking",2.1997242,41.3880604
"bicycle_parking",2.1992868,41.3877252
"bicycle_parking",2.1977619,41.4098758
"bicycle_parking",2.2132484,41.400752
"bicycle_parking",2.0943971,41.3656043
"bicycle_parking",2.1365086,41.4148236
"bicycle_parking",2.1176787,41.375198
"bicycle_parking",2.1224759,41.3580658
"bicycle_parking",2.1505377,41.3780786
"bicycle_parking",2.1922808,41.4031271
"bicycle_parking",2.192317,41.4031003
"bicycle_parking",2.1925126,41.4029467
"bicycle_parking",2.1925424,41.4029232
"bicycle_parking",2.1848255,41.4031008
"bicycle_parking",2.1473534,41.4389051
"bicycle_parking",2.1734381,41.3948515
"bicycle_parking",2.1736405,41.3945891
"bicycle_parking",2.1870078,41.3901
"bicycle_parking",2.2103751,41.3964441
"bicycle_parking",2.2099984,41.3964466
"bicycle_parking",2.1755917,41.3799115
"bicycle_parking",2.155395,41.3703818
"bicycle_parking",2.2030994,41.4509578
"bicycle_parking",2.2054214,41.4521035
"bicycle_parking",2.2031251,41.4512316
"bicycle_parking",2.1811192,41.4092557
"bicycle_parking",2.2039959,41.4526711
"bicycle_parking",2.1873294,41.4141525
"bicycle_parking",2.171141,41.4017467
"bicycle_parking",2.1811841,41.4092556
"bicycle_parking",2.1670128,41.3921067
"bicycle_parking",2.1618167,41.3984376
"bicycle_parking",2.1376031,41.3760835
"bicycle_parking",2.2007871,41.4515764
"bicycle_parking",2.1650838,41.3859449
"bicycle_parking",2.0818247,41.3758857
"bicycle_parking",2.1853664,41.3822743
"bicycle_parking",2.1849891,41.3820121
"bicycle_parking",2.1854562,41.3821914
"bicycle_parking",2.1967489,41.4552901
"bicycle_parking",2.1604964,41.3991774
"bicycle_parking",2.121924,41.3336924
"bicycle_parking",2.2105442,41.4439814
"bicycle_parking",2.1481036,41.3932727
"bicycle_parking",2.1426467,41.3918532
"bicycle_parking",2.1519152,41.3996207
"bicycle_parking",2.1556915,41.4034475
"bicycle_parking",2.1674899,41.3856539
"bicycle_parking",2.1353011,41.3835014
"bicycle_parking",2.1380565,41.3775147
"bicycle_parking",2.1985251,41.3872328
