"type","longitude","latitude"
"tourism",2.1665052,41.3885425
"tourism",2.0973018,41.3609927
"tourism",2.21244477013643,41.4281458291869
"amenity",2.17341637435758,41.3801477373289
"tourism",2.12685107623389,41.4095630369689
"tourism",2.1744806,41.3844934
"tourism",2.1669561,41.3657635
"tourism",2.1622987,41.4356997
"tourism",2.1785625,41.3753125
"tourism",2.1652851,41.3889062
"tourism",2.1726876,41.3892982
"tourism",2.176194,41.3890544
"tourism",2.172626,41.3938477
"tourism",2.1200059,41.4226763
"tourism",2.22810850920264,41.4114726139369
"tourism",2.1967916,41.4019067
"tourism",2.0969627,41.3613115
"tourism",2.15632370769713,41.3687697006441
"tourism",2.1824636,41.4191976
"tourism",2.1978024,41.4204622
"tourism",2.1601296,41.3954729
"tourism",2.2149498,41.4101375
"tourism",2.1877672,41.4019773
"tourism",2.18971139539113,41.3851469843105
"tourism",2.15940910850773,41.3960513436769
"tourism",2.10077510723791,41.4651347796875
"tourism",2.17777287223526,41.3758004422978
"amenity",2.14912529044329,41.3750302365792
"tourism",2.15357478610913,41.4144258480259
"tourism",2.17419599362981,41.4029931975549
"tourism",2.15061744025746,41.4034988827293
"tourism",2.17152200543749,41.3823678994169
"tourism",2.10826949508272,41.4005773513452
"tourism",2.18380075007518,41.3858311107008
"tourism",2.19161217267434,41.386349658052
"tourism",2.15060715624531,41.364279174441
"tourism",2.1776778,41.383921
"tourism",2.17453,41.3833403
"tourism",2.17423375409312,41.3788238566314
"tourism",2.17730313138367,41.3774183024681
"amenity",2.18172511869538,41.3871088059084
"amenity",2.06773657861496,41.3802566586991
"tourism",2.18840746622611,41.3858049662673
"tourism",2.18802934391752,41.386069488394
"tourism",2.18826173758152,41.3863821520196
"tourism",2.1883592741903,41.3862367178041
"tourism",2.18756864495734,41.385442117722
"tourism",2.19073056846133,41.3866667590689
"tourism",2.19112578755047,41.3859359484024
"tourism",2.19099730789854,41.3857408846795
"tourism",2.19015539307295,41.3857123144282
"tourism",2.19138120937887,41.3861006829356
"tourism",2.19020662616031,41.387470747149
"tourism",2.19118592999976,41.3865053529737
"tourism",2.19046823261379,41.3876161795264
"tourism",2.18753308948089,41.4535943588413
"tourism",2.18127206039674,41.3851375078663
"amenity",2.13221999178109,41.3550875054277
"tourism",2.19493624402797,41.403177284028
"tourism",2.1633974,41.3888541
"tourism",2.1636636,41.3916216
"tourism",2.22624780416157,41.4653028992962
"tourism",2.18758169538159,41.3897242831831
"tourism",2.18767484297036,41.390245289312
"tourism",2.18837984202141,41.3896857750839
"tourism",2.18797374521789,41.389991402495
"tourism",2.180124,41.3808075
"tourism",2.1577050569001,41.3660645395393
"tourism",2.15441904527926,41.3736524585209
