"name","longitude","latitude"
"Vivari",2.1411148,41.3686608
"Vivari",2.180505,41.3947182
"Vivari",2.1810592,41.4149146
"Vivari",2.174203,41.4258827
"Vivari",2.1721898,41.3902924
"Vivari",2.1565913,41.4041841
"Vivari",2.2271125,41.4408122
"Vivari",2.1645217,41.410529
"Vivari",2.1606738,41.3853698
"Vivari",2.178509,41.3866625
"Vivari",2.1644681,41.3747756
"Vivari",2.1818712,41.407369
"Vivari",2.1546034,41.3866785
"Vivari",2.1670455,41.4009299
"Vivari",2.1278291,41.3819079
"Vivari",2.1295185,41.3866199
"Vivari",2.1676233,41.3973187
"Vivari",2.1532935,41.3900823
"Vivari",2.1379198,41.386316
"Vivari",2.1455885,41.3916995
"Vivari",2.1402916,41.3605765
"Vivari",2.1343024,41.3661671
"Vivari",2.1276424,41.3565897
"Vivari",2.1760468,41.4064271
"Vivari",2.1250595,41.3758212
"Vivari",2.1353917,41.3815657
"Vivari",2.1505859,41.3757636
"Vivari",2.1775677,41.3998419
"Vivari",2.1730164,41.4108009
"Vivari",2.1776394,41.3998161
"Vivari",2.1713508,41.4087561
"Vivari",2.1410874,41.3686165
"Vivari",2.1270296,41.3665125
"Vivari",2.1571199,41.427475
"Vivari",2.1555519,41.4233199
"Vivari",2.1629196,41.3993766
"Vivari",2.1788705,41.4114623
"Vivari",2.179024,41.3970939
"Vivari",2.1376179,41.4102888
"Vivari",2.1757721,41.3899052
"Vivari",2.1520994,41.3840275
"Vivari",2.146884,41.3736939
