"type","longitude","latitude"
"metro_station",2.1759836,41.3769334
"metro_station",2.1449598,41.3839818
"metro_station",2.1529951,41.4021018
"metro_station",2.0792152,41.3579852
"metro_station",2.1603155,41.4296898
"metro_station",2.1505425,41.3881615
"metro_station",2.2175477,41.4413034
"metro_station",2.176504,41.4250282
"metro_station",2.1262221,41.38794
"metro_station",2.1445379,41.4295504
"metro_station",2.1483831,41.4355422
"metro_station",2.193435,41.4297598
"metro_station",2.1411326,41.4175413
"metro_station",2.136232,41.3820364
"metro_station",2.1071207,41.3738133
"metro_station",2.1757834,41.447355
"metro_station",2.1453675,41.378444
"metro_station",2.144542,41.4119098
"metro_station",2.1568764,41.4380037
"metro_station",2.1681725,41.43046
"metro_station",2.1116863,41.3842442
"metro_station",2.2245758,41.442733
"metro_station",2.1308782,41.3841337
"metro_station",2.1079533,41.4122894
"metro_station",2.0998719,41.3639652
"metro_station",2.169837,41.3747892
"metro_station",2.1251389,41.3988657
"metro_station",2.0842967,41.3567186
"metro_station",2.0843824,41.3567658
"metro_station",2.0843297,41.3566848
"metro_station",2.1520847,41.3997143
"metro_station",2.0705523,41.3573028
"metro_station",2.1692912,41.3875812
"metro_station",2.1709596,41.3950237
"metro_station",2.1640978,41.385731
"metro_station",2.1633286,41.3802503
"metro_station",2.1809092,41.3921143
"metro_station",2.1684275,41.4000911
"metro_station",2.1599423,41.3959412
"metro_station",2.157979,41.3928741
"metro_station",2.1072007,41.3446499
"metro_station",2.1493621,41.4216569
"metro_station",2.1995389,41.4499467
"metro_station",2.1109354,41.3509646
"metro_station",2.102483,41.3589129
"metro_station",2.1027358,41.3676843
"metro_station",2.1098316,41.3683228
"metro_station",2.1166305,41.3684057
"metro_station",2.1286052,41.3687993
"metro_station",2.143419,41.3752424
"metro_station",2.1379127,41.3753756
"metro_station",2.1493272,41.3754812
"metro_station",2.1545732,41.3792368
"metro_station",2.2175726,41.4337214
"metro_station",2.1683846,41.3857937
"metro_station",2.1488327,41.3747456
"metro_station",2.1103613,41.3609506
"metro_station",2.1733739,41.4369792
"metro_station",2.1870242,41.4226234
"metro_station",2.1867491,41.4204532
"metro_station",2.186586,41.4212221
"metro_station",2.1749989,41.4295936
"metro_station",2.173924,41.4040622
"metro_station",2.1751136,41.4039801
"metro_station",2.2184075,41.4516735
"metro_station",2.2183919,41.4515878
"metro_station",2.1836388,41.4297809
"metro_station",2.1907138,41.4431273
"metro_station",2.119034,41.3987898
"metro_station",2.170084,41.3865465
"metro_station",2.2102857,41.4444722
"metro_station",2.1984935,41.4576792
"metro_station",2.2055928,41.459458
"metro_station",2.1730711,41.3813959
"metro_station",2.2124022,41.4547585
"metro_station",2.0935517,41.3218206
"metro_station",2.1280783,41.3417575
"metro_station",2.130679,41.3519228
"metro_station",2.1256902,41.3572488
"metro_station",2.1181989,41.3607212
"metro_station",2.1178553,41.3858079
"metro_station",2.141114,41.3814691
"metro_station",2.1605721,41.3749795
"metro_station",2.1841624,41.4494828
"metro_station",2.1500337,41.4061724
"metro_station",2.2278605,41.4353172
"metro_station",2.1794545,41.4005241
"metro_station",2.205618,41.4240389
"metro_station",2.1825232,41.4070747
"metro_station",2.2097745,41.4298896
"metro_station",2.1393675,41.3678579
"metro_station",2.1301693,41.361165
"metro_station",2.1170729,41.3547752
"metro_station",2.1029121,41.3579267
"metro_station",2.1955939,41.4152191
"metro_station",2.2079477,41.4510253
"metro_station",2.1733108,41.3880852
"metro_station",2.1787061,41.3840008
"metro_station",2.1854822,41.3821171
"metro_station",2.1929661,41.3866815
"metro_station",2.1920399,41.3950987
"metro_station",2.197649,41.3993809
"metro_station",2.2032751,41.4036418
"metro_station",2.2091094,41.4080147
"metro_station",2.2166779,41.4117753
"metro_station",2.2097125,41.4203693
"metro_station",2.2160851,41.4150936
"metro_station",2.2007307,41.4190565
"metro_station",2.1869158,41.4101394
"metro_station",2.1755213,41.3948216
"metro_station",2.1745608,41.3896372
"metro_station",2.1403215,41.3798895
"metro_station",2.1866792,41.4238386
"metro_station",2.1474414,41.4013354
"metro_station",2.1430732,41.403344
"metro_station",2.1391359,41.4058141
"metro_station",2.1371569,41.4096598
"metro_station",2.0843303,41.3633432
"metro_station",2.0997596,41.3717369
"metro_station",2.1786043,41.4438467
"metro_station",2.182427,41.449185
"metro_station",2.1848915,41.4512669
"metro_station",2.1799449,41.4592177
"metro_station",2.1728664,41.4625511
"metro_station",2.1745668,41.4609185
"metro_station",2.1549579,41.4256037
"metro_station",2.1773979,41.4231064
"metro_station",2.175983,41.4107312
"metro_station",2.1470799,41.4010671
"metro_station",2.1311837,41.3976108
"metro_station",2.1361547,41.3977857
"metro_station",2.2158135,41.446842
"metro_station",2.1428749,41.3986188
"metro_station",2.1631882,41.4062666
"metro_station",2.174074,41.4160751
"metro_station",2.0706597,41.3514715
"metro_station",2.0845124,41.3530362
