floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_True,topNewDevelopment_True,exterior_True
0.24,0.19714285714285715,0.05056179775280899,0.05,0.125,414006701,21725896,1,0,0,0,0,1,0,0,0,0,0,1
0.08,0.08571428571428572,0.056179775280898875,0.075,0.125,413854006,21835471,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.02957142857142857,0.016853932584269662,0.05,0.0625,413968365,21454188,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.14142857142857143,0.046067415730337076,0.075,0.125,414025112,21160332,1,1,0,0,1,0,0,0,0,0,0,1
0.04,0.07142857142857142,0.041947565543071164,0.075,0.125,41382181,21584714,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.17142857142857143,0.22134831460674156,0.15,0.3125,414940029,22875862,0,1,0,0,0,0,0,0,0,0,0,0
0.12,0.1,0.04681647940074907,0.075,0.125,413933148,2163152,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.13142857142857142,0.06142322097378277,0.1,0.25,41400537,21379804,1,1,0,0,1,0,0,0,0,0,0,1
0.04,0.07428571428571429,0.03258426966292135,0.05,0.125,414032237,21233344,1,1,0,0,1,0,0,0,0,0,0,1
0.04,0.08914285714285715,0.03258426966292135,0.075,0.125,414030926,21690485,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.1,0.149812734082397,0.125,0.1875,413661026,20497605,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.08428571428571428,0.04307116104868914,0.05,0.125,414016242,21610693,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.05785714285714286,0.024344569288389514,0.025,0.0625,413853632,21846702,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.05285714285714286,0.040074906367041196,0.1,0.0625,41384678,21280694,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.2857142857142857,0.05655430711610487,0.1,0.1875,412717331,1951078,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.05285714285714286,0.02696629213483146,0.075,0.0625,413851941,2178106,0,0,0,0,1,0,0,0,0,0,0,1
0.04,0.19714285714285715,0.07303370786516854,0.1,0.1875,413949623,21596777,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.09914285714285714,0.026217228464419477,0.05,0.0625,413861272,21540824,1,0,0,0,1,0,0,0,0,0,0,1
0.28,0.2257142857142857,0.099625468164794,0.125,0.25,413848057,21090424,1,1,0,0,1,0,0,0,0,0,0,1
0.04,0.19714285714285715,0.07640449438202247,0.1,0.1875,413941733,21575765,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.073,0.03445692883895131,0.075,0.125,413780561,21593196,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.05842857142857143,0.020224719101123594,0.05,0.125,413866199,2173459,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.19714285714285715,0.07303370786516854,0.1,0.1875,413932977,21606079,1,0,0,0,1,0,0,0,0,0,0,1
0.36,0.056857142857142856,0.040074906367041196,0.1,0.125,414004456,21464234,1,0,0,0,0,1,0,0,0,0,0,1
0.0,0.21428571428571427,0.18614232209737827,0.15,0.3125,415574612,24985736,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.045714285714285714,0.02247191011235955,0.025,0.0625,413745426,21676222,0,0,0,0,0,1,0,0,0,0,0,1
0.04,0.11142857142857143,0.08764044943820225,0.15,0.1875,413938187,21605155,1,1,0,0,1,0,0,0,0,0,0,1
0.0,0.07142857142857142,0.0449438202247191,0.075,0.125,413792847,2151303,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.11428571428571428,0.056179775280898875,0.075,0.125,413826596,21847096,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.05771428571428571,0.027340823970037453,0.025,0.125,413893595,21797073,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.045714285714285714,0.056179775280898875,0.1,0.0625,412798821,19733083,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.045714285714285714,0.02247191011235955,0.025,0.0625,413905789,21653124,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.07114285714285715,0.036329588014981276,0.05,0.125,413845495,21815146,1,0,0,0,1,0,0,0,0,0,0,0
0.12,0.08285714285714285,0.02397003745318352,0.05,0.0625,41394662,21265994,0,0,0,0,1,0,0,0,0,0,0,1
0.28,0.2571428571428571,0.0700374531835206,0.075,0.125,413974904,21182577,1,1,0,1,0,0,0,0,0,0,0,1
0.16,0.055142857142857146,0.03258426966292135,0.05,0.0625,414067339,21621749,1,0,0,0,1,0,0,0,0,0,0,1
0.16,0.07828571428571429,0.02546816479400749,0.0,0.0625,413910236,21813492,1,0,0,0,0,0,1,0,0,0,0,1
0.0,0.054285714285714284,0.0550561797752809,0.075,0.125,413871705,2131722,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.2282857142857143,0.1947565543071161,0.175,0.4375,414077216,21158909,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.060571428571428575,0.04719101123595506,0.075,0.125,413994241,21507497,1,0,0,0,1,0,0,0,0,0,0,1
0.08,0.05142857142857143,0.015730337078651686,0.025,0.0625,413730514,21677909,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.06291428571428571,0.05056179775280899,0.075,0.125,413618119,21293942,1,0,0,0,1,0,0,0,0,0,0,1
0.2,0.052,0.028089887640449437,0.075,0.0625,414108181,2178247,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.05142857142857143,0.056179775280898875,0.075,0.125,414322804,20927941,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.09928571428571428,0.06741573033707865,0.1,0.125,414052528,21513977,1,1,0,0,1,0,0,0,0,0,0,1
0.0,0.054285714285714284,0.0449438202247191,0.05,0.125,413821456,21719359,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.08,0.07715355805243446,0.125,0.1875,414682902,2054522,0,1,0,0,0,0,0,0,0,0,0,0
0.04,0.03077142857142857,0.029213483146067417,0.05,0.125,414424755,22407646,1,1,0,0,1,0,0,0,0,0,0,1
0.12,0.05,0.028089887640449437,0.075,0.0625,413548453,21107832,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.027142857142857142,0.026217228464419477,0.05,0.125,41605568,22917757,0,0,0,0,1,0,0,0,0,0,0,0
0.28,0.09142857142857143,0.04868913857677903,0.1,0.125,413862644,21328378,1,0,0,0,0,1,0,0,0,0,0,1
0.04,0.07142857142857142,0.03745318352059925,0.075,0.125,413821577,21502829,1,0,0,0,1,0,0,0,0,0,0,1
0.08,0.06,0.04681647940074907,0.05,0.1875,413908693,2162155,0,0,0,0,1,0,0,0,0,0,0,1
0.04,0.05714285714285714,0.033707865168539325,0.05,0.0625,414108582,21465067,0,0,0,0,1,0,0,0,0,0,0,1
0.04,0.04414285714285714,0.022846441947565542,0.05,0.0625,413728321,21566927,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.12,0.09737827715355805,0.1,0.1875,412676344,19525241,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.16857142857142857,0.06441947565543071,0.075,0.125,413985183,21216351,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.08942857142857143,0.020599250936329586,0.05,0.0625,413991845,22070419,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.05028571428571429,0.021348314606741574,0.05,0.0625,413794394,21493701,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.16857142857142857,0.08614232209737828,0.075,0.125,413963903,21245498,0,0,0,0,0,0,0,0,0,0,0,0
0.12,0.045714285714285714,0.02846441947565543,0.05,0.125,413770356,21540482,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.14257142857142857,0.16254681647940075,0.15,0.25,412766761,19662718,0,1,0,0,0,0,0,0,0,0,0,0
0.08,0.05942857142857143,0.0299625468164794,0.05,0.0625,413943488,2167748,1,0,0,0,1,0,0,0,0,0,0,1
0.08,0.06642857142857143,0.024344569288389514,0.025,0.0625,41383606,2155327,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.05714285714285714,0.029213483146067417,0.025,0.0625,414050349,21566052,0,0,0,0,1,0,0,0,0,0,0,0
0.16,0.05714285714285714,0.03670411985018727,0.1,0.125,414108421,21618501,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.041428571428571426,0.024344569288389514,0.05,0.0625,413815055,21673834,0,0,0,0,1,0,0,0,0,0,0,1
