floor,size,rooms,bathrooms,latitude,longitude,showAddress,hasLift,num_bancos_500,num_starbucks_500,num_atractivos_500,num_buenasmigas_500,num_clubesnocturnos_500,num_mcdonalds_500,num_metro_500,num_parking_500,num_parkingbici_500,num_parques_500,num_santagloria_500,num_vivari_500,num_airbnbs_500,status_newdevelopment,status_renew,newDevelopment_True
0.14285714285714285,0.035580524344569285,0.075,0.125,41.4809882,2.0657559,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07142857142857142,0.018352059925093634,0.025,0.0625,41.3751289,2.1749958,0,0,0.03333333333333333,0.0,0.14705882352941177,0.0,0.6666666666666666,0.0,0.09523809523809523,0.16279069767441862,0.16279069767441862,0.17391304347826086,0.0,0.0,0.3192516596258298,0.0,0.0,0.0
0.0,0.03745318352059925,0.075,0.125,41.3908912,2.1641006,0,0,0.5333333333333333,0.5,0.38235294117647056,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.10465116279069768,0.10465116279069768,0.2608695652173913,0.0,0.0,0.5340977670488836,0.0,0.0,0.0
0.14285714285714285,0.012734082397003745,0.0,0.0625,41.3811529,2.1378969,0,1,0.36666666666666664,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.09523809523809523,0.13953488372093023,0.13953488372093023,0.6086956521739131,0.0,0.2,0.09776704888352444,0.0,0.0,0.0
0.35714285714285715,0.027715355805243445,0.075,0.125,41.3811988,2.162346,0,1,0.3,0.16666666666666666,0.20588235294117646,0.3333333333333333,0.3333333333333333,0.0,0.07142857142857142,0.11627906976744186,0.11627906976744186,0.2608695652173913,0.0,0.2,0.6777308388654194,0.0,0.0,0.0
0.14285714285714285,0.018726591760299626,0.025,0.0625,41.3813642,2.1511397,0,1,0.26666666666666666,0.0,0.029411764705882353,0.0,0.4444444444444444,0.0,0.023809523809523808,0.05813953488372093,0.05813953488372093,0.17391304347826086,0.0,0.2,0.3946891973445987,0.0,0.0,0.0
0.14285714285714285,0.035955056179775284,0.075,0.125,41.3870978,2.1601613,0,1,0.26666666666666666,0.16666666666666666,0.08823529411764706,0.3333333333333333,0.6666666666666666,0.0,0.047619047619047616,0.1511627906976744,0.1511627906976744,0.30434782608695654,0.0,0.4,0.5944477972238986,0.0,0.0,0.0
0.0,0.02659176029962547,0.025,0.0625,41.3927326,2.1738765,0,0,0.4666666666666667,0.16666666666666666,0.14705882352941177,0.3333333333333333,0.1111111111111111,0.0,0.07142857142857142,0.16279069767441862,0.16279069767441862,0.17391304347826086,0.0,0.4,0.5739287869643935,0.0,0.0,0.0
0.14285714285714285,0.044194756554307116,0.075,0.125,41.4713859,2.067272,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0299625468164794,0.05,0.125,41.3888741,2.1656453,0,0,0.5666666666666667,0.8333333333333334,0.29411764705882354,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.9761904761904762,0.12790697674418605,0.12790697674418605,0.21739130434782608,0.0,0.0,0.5703077851538926,0.0,0.0,0.0
