"name","longitude","latitude"
"Starbucks",2.1771925,41.3852913
"Starbucks",2.1596883,41.3959387
"Starbucks",2.215722,41.4095395
"Starbucks",2.1363766,41.3911922
"Starbucks",2.1632447,41.3852589
"Starbucks",2.1307802,41.3887239
"Starbucks",2.1239411,41.3870241
"Starbucks",2.1740935,41.4023115
"Starbucks",2.1712564,41.383406
"Starbucks",2.1766198,41.3825115
"Starbucks",2.1653219,41.3926932
"Starbucks",2.1976027,41.4399109
"Starbucks",2.1581903,41.3951351
"Starbucks",2.165112,41.3907906
"Starbucks",2.09851988987091,41.3771499949244
"Starbucks",2.1719117,41.3888305
"Starbucks",2.1679205,41.3880191
"Starbucks",2.1913268,41.4049345
"Starbucks",2.1826554,41.3747518
"Starbucks",2.0784717,41.4334279
"Starbucks",2.1679219,41.3858116
